Customer_ID,Best_Offer
Customer_708,2
Customer_47,0
Customer_3995,1
Customer_1513,0
Customer_3686,2
Customer_2835,1
Customer_2492,0
Customer_4192,0
Customer_6865,0
Customer_6354,1
Customer_1010,1
Customer_2707,2
Customer_4304,1
Customer_3126,1
Customer_7716,1
Customer_4373,2
Customer_1002,3
Customer_315,0
Customer_8052,0
Customer_9079,1
Customer_6848,1
Customer_1496,2
Customer_3601,0
Customer_6375,1
Customer_965,0
Customer_2389,2
Customer_2862,2
Customer_4326,1
Customer_3891,0
Customer_2221,1
Customer_8919,2
Customer_3352,0
Customer_1691,1
Customer_93,1
Customer_6657,0
Customer_1728,0
Customer_2698,1
Customer_6686,0
Customer_2865,2
Customer_5100,1
Customer_4085,0
Customer_3755,1
Customer_9100,0
Customer_8365,1
Customer_1180,2
Customer_8905,0
Customer_1175,1
Customer_653,1
Customer_6523,0
Customer_2439,0
Customer_5521,1
Customer_3346,1
Customer_5992,0
Customer_6946,0
Customer_8376,3
Customer_9080,1
Customer_7847,0
Customer_5723,1
Customer_7945,3
Customer_447,0
Customer_2812,1
Customer_7613,0
Customer_5349,3
Customer_7695,0
Customer_5362,2
Customer_4301,1
Customer_5969,0
Customer_620,1
Customer_248,2
Customer_1501,1
Customer_3433,0
Customer_7370,1
Customer_4471,0
Customer_2344,0
Customer_3749,0
Customer_7963,1
Customer_7622,0
Customer_7213,3
Customer_4169,0
Customer_2777,0
Customer_1153,0
Customer_6220,0
Customer_8539,1
Customer_3532,1
Customer_4836,0
Customer_4791,0
Customer_8535,3
Customer_6401,3
Customer_5107,1
Customer_6339,2
Customer_8431,1
Customer_4581,0
Customer_4119,1
Customer_8588,0
Customer_2166,0
Customer_318,0
Customer_4329,1
Customer_5564,2
Customer_4686,1
Customer_511,0
Customer_4511,0
Customer_7765,1
Customer_6312,0
Customer_4663,1
Customer_8479,1
Customer_6087,0
Customer_2680,2
Customer_7549,0
Customer_7720,0
Customer_1488,1
Customer_7292,0
Customer_3518,0
Customer_5193,1
Customer_5613,1
Customer_6916,0
Customer_8708,1
Customer_5209,0
Customer_2651,1
Customer_8665,1
Customer_2499,0
Customer_7925,3
Customer_8083,1
Customer_3204,0
Customer_2999,0
Customer_8727,0
Customer_8099,0
Customer_7918,0
Customer_2944,0
Customer_6051,1
Customer_4467,1
Customer_7740,0
Customer_5034,1
Customer_9035,0
Customer_95,0
Customer_5953,1
Customer_8532,0
Customer_4480,0
Customer_2884,1
Customer_1851,0
Customer_1183,0
Customer_4317,1
Customer_2954,1
Customer_8039,0
Customer_1527,1
Customer_119,0
Customer_4415,1
Customer_8250,0
Customer_8358,0
Customer_1922,2
Customer_2650,0
Customer_5741,1
Customer_1402,0
Customer_1406,1
Customer_8858,1
Customer_5171,1
Customer_647,0
Customer_7844,0
Customer_3017,0
Customer_2984,1
Customer_267,0
Customer_4879,0
Customer_80,1
Customer_6692,1
Customer_8816,0
Customer_5653,0
Customer_2922,0
Customer_3616,0
Customer_4602,0
Customer_7470,1
Customer_6498,0
Customer_3533,1
Customer_6512,0
Customer_3469,0
Customer_3397,0
Customer_3680,0
Customer_6448,1
Customer_457,0
Customer_3172,0
Customer_7909,1
Customer_7751,0
Customer_3666,1
Customer_4586,1
Customer_6152,1
Customer_2067,0
Customer_4421,0
Customer_1413,2
Customer_3931,0
Customer_8500,1
Customer_7468,0
Customer_3837,0
Customer_7843,1
Customer_7000,0
Customer_6062,0
Customer_1188,0
Customer_8092,3
Customer_6361,0
Customer_4512,1
Customer_563,0
Customer_169,0
Customer_908,1
Customer_5336,1
Customer_8219,0
Customer_360,0
Customer_3297,0
Customer_6695,0
Customer_2354,1
Customer_8778,0
